,name,selling_price,km_driven,fuel,seller_type,transmission,owner,mileage,engine,max_power,seats,age
768,Maruti Swift Dzire VDi,420000,120000,Diesel,Individual,Manual,2,19.3,1248,73.9,5.0,9
769,Hyundai i20 1.4 CRDi Era,321000,100000,Diesel,Individual,Manual,2,23.0,1396,90.0,5.0,9
770,Mahindra Xylo D4 BSIV,350000,120000,Diesel,Individual,Manual,Fourth & Above Owner,14.0,2498,112.0,8.0,9
771,Honda Amaze i-VTEC Privilege Edition,490000,80000,Petrol,Individual,Manual,1,17.8,1198,86.7,5.0,4
772,Mahindra Scorpio S2 7 Seater,680000,90000,Diesel,Individual,Manual,1,15.4,2523,75.0,7.0,6
773,Maruti Alto K10 VXI,298000,70000,Petrol,Individual,Manual,1,23.95,998,67.05,5.0,5
775,Mahindra Scorpio M2DI,450000,150000,Diesel,Individual,Manual,Fourth & Above Owner,13.5,2179,115.0,5.0,10
777,Tata Indica Vista Quadrajet ZX,250000,40000,Diesel,Individual,Manual,1,22.3,1248,74.0,5.0,9
778,Ford Endeavour Hurricane Limited Edition,1075000,110000,Diesel,Individual,Automatic,3,12.8,2953,156.0,7.0,8
779,Hyundai Grand i10 Sportz,500000,20000,Petrol,Individual,Manual,1,18.9,1197,82.0,5.0,4
780,Ford Freestyle Trend Petrol BSIV,681000,10000,Petrol,Individual,Manual,1,19.0,1194,94.68,5.0,2
781,Mahindra XUV500 W8 2WD,650000,90000,Diesel,Individual,Manual,2,15.1,2179,140.0,7.0,7
782,Chevrolet Aveo U-VA 1.2 LS,80000,70000,Petrol,Individual,Manual,2,15.26,1150,74.9,5.0,13
783,Mahindra Bolero SLX 2WD BSIII,290000,120000,Diesel,Individual,Manual,1,13.6,2523,63.0,7.0,12
784,Mahindra Scorpio 2.6 SPORTZ CRDe,220000,120000,Diesel,Individual,Manual,2,10.5,2179,120.0,8.0,15
785,Hyundai Santro Xing GL,120000,90000,Petrol,Individual,Manual,2,0.0,1086,62.0,5.0,12
786,Datsun RediGO Sport,229999,80000,Petrol,Individual,Manual,1,22.7,799,53.0,5.0,4
787,Mahindra Bolero ZLX BSIII,150000,132478,Diesel,Individual,Manual,2,13.6,2523,63.0,7.0,18
788,Maruti Swift Dzire VXI,500000,45000,Petrol,Individual,Manual,1,19.1,1197,85.8,5.0,7
789,Tata Indigo CS LS (TDI) BS III,175000,120000,Diesel,Individual,Manual,1,19.09,1396,69.0,5.0,8
790,Ford Freestyle Titanium Petrol BSIV,720000,10000,Petrol,Individual,Manual,1,19.0,1194,94.68,5.0,2
791,Maruti 800 AC,100000,51000,Petrol,Individual,Manual,1,16.1,796,37.0,4.0,9
792,Honda Civic 1.8 V AT,250000,105000,Petrol,Individual,Automatic,2,12.9,1799,130.0,5.0,12
793,Mahindra XUV500 W6 2WD,810000,100000,Diesel,Individual,Manual,1,15.1,2179,140.0,7.0,7
794,Maruti Alto LXi,165000,30000,Petrol,Individual,Manual,3,19.7,796,46.3,5.0,11
795,Chevrolet Tavera Neo 3 LS 10 Str,409999,60000,Diesel,Individual,Manual,2,12.2,1994,105.3,10.0,5
796,Maruti Swift VDI,430000,86000,Diesel,Individual,Manual,2,22.9,1248,74.0,5.0,8
797,Datsun GO Plus D1,300000,15000,Petrol,Individual,Manual,1,20.62,1198,67.0,7.0,6
798,Maruti Swift Dzire VDi,350000,137500,Diesel,Individual,Manual,3,19.3,1248,73.9,5.0,10
799,Renault KWID 1.0 RXT Optional,400000,60000,Petrol,Individual,Manual,1,23.01,999,67.0,5.0,3
800,Chevrolet Enjoy 1.3 TCDi LS 7,420000,70000,Diesel,Individual,Manual,1,18.2,1248,73.74,7.0,5
801,Maruti Wagon R VXI BS IV,430000,5000,Petrol,Individual,Manual,1,20.51,998,67.04,5.0,6
802,Maruti Swift VXI Optional,573000,30000,Petrol,Individual,Manual,1,20.4,1197,81.8,5.0,4
803,Hyundai EON D Lite Plus,210000,40000,Petrol,Individual,Manual,1,21.1,814,55.2,5.0,6
804,Renault Duster 110PS Diesel RxZ,600000,60000,Diesel,Individual,Manual,1,19.01,1461,108.45,5.0,6
805,Honda City 2017-2020 GXi,150000,70000,Petrol,Individual,Manual,3,17.7,1497,78.0,5.0,13
806,Tata Tigor 1.2 Revotron XT,550000,15000,Petrol,Individual,Manual,1,20.3,1199,84.0,5.0,2
807,Maruti Swift Dzire ZDi,320000,110000,Diesel,Individual,Manual,2,19.3,1248,73.9,5.0,10
808,Maruti 800 AC,80000,70000,Petrol,Individual,Manual,Fourth & Above Owner,16.1,796,37.0,4.0,21
809,Honda Amaze VX Diesel BSIV,800000,10000,Diesel,Individual,Manual,1,27.4,1498,98.63,5.0,2
810,Maruti Ertiga ZXI,500000,60000,Petrol,Individual,Manual,1,16.02,1373,93.7,7.0,8
811,Tata Manza Aura Quadrajet,229999,110000,Diesel,Individual,Manual,2,18.8,1248,90.0,5.0,10
813,Hyundai i20 Asta 1.2,630000,35000,Petrol,Individual,Manual,1,18.6,1197,81.83,5.0,6
814,Maruti Omni E MPI STD BS IV,190000,70000,Petrol,Individual,Manual,2,16.8,796,34.2,8.0,5
816,Mahindra Bolero VLX CRDe,450000,100000,Diesel,Individual,Manual,2,13.6,2523,63.0,7.0,10
817,Maruti Alto Std,95000,120000,Petrol,Individual,Manual,1,19.7,796,46.3,5.0,13
818,Maruti Omni 8 Seater BSII,101000,90000,Petrol,Individual,Manual,Fourth & Above Owner,19.7,796,35.0,8.0,12
819,Honda Amaze E i-Dtech,500000,70000,Diesel,Individual,Manual,2,25.8,1498,98.6,5.0,5
820,Toyota Innova 2.5 VX (Diesel) 7 Seater,1019999,88000,Diesel,Individual,Manual,2,12.99,2494,100.6,7.0,7
821,Hyundai EON Era Plus,244000,38000,Petrol,Individual,Manual,1,21.1,814,55.2,5.0,9
822,Maruti Wagon R LXI BS IV,250000,90000,Petrol,Individual,Manual,2,20.51,998,67.04,5.0,8
823,Maruti Baleno Alpha 1.2,660000,60000,Petrol,Individual,Manual,1,21.4,1197,83.1,5.0,5
824,Hyundai i20 Magna,270000,60000,Petrol,Individual,Manual,1,18.5,1197,80.0,5.0,11
825,Maruti Ritz VDi,280000,156060,Diesel,Individual,Manual,1,23.2,1248,73.94,5.0,9
826,Hyundai Creta 1.6 CRDi SX,1050000,60000,Diesel,Individual,Manual,1,19.67,1582,126.2,5.0,4
827,Maruti Swift Dzire VXI,525000,70000,Petrol,Individual,Manual,1,20.85,1197,83.14,5.0,4
828,Hyundai Verna 1.6 CRDi S,850000,35000,Diesel,Individual,Manual,1,23.9,1582,126.2,5.0,4
829,Mahindra XUV500 W10 1.99 mHawk,1165000,50000,Diesel,Individual,Manual,1,16.0,1997,140.0,7.0,5
830,Maruti Swift ZXI,345000,50000,Petrol,Individual,Manual,2,18.6,1197,85.8,5.0,9
831,Hyundai Santro Xing XS,95000,100000,Petrol,Individual,Manual,2,17.8,1086,63.0,5.0,14
832,Maruti Alto 800 LXI,241000,15000,Petrol,Individual,Manual,1,22.74,796,47.3,5.0,6
833,Maruti Alto 800 LXI,235000,20000,Petrol,Individual,Manual,1,22.74,796,47.3,5.0,6
834,Ford EcoSport 1.5 TDCi Titanium Plus BSIV,615000,80000,Diesel,Individual,Manual,1,22.77,1498,98.59,5.0,6
835,Mahindra Verito Vibe 1.5 dCi D4,350000,110000,Diesel,Individual,Manual,2,20.8,1461,64.1,5.0,7
836,Maruti Wagon R Stingray VXI,350000,35000,Petrol,Individual,Manual,1,20.51,998,67.04,5.0,7
837,Maruti Wagon R Stingray VXI,380000,35000,Petrol,Individual,Manual,1,20.51,998,67.04,5.0,7
838,Tata Sumo Gold EX BSIII,400000,140000,Diesel,Individual,Manual,1,14.07,2956,69.01,7.0,4
839,Maruti Zen Estilo LXI BS IV,220000,40000,Petrol,Individual,Manual,1,19.0,998,67.1,5.0,11
840,Tata Sumo GX,270000,110000,Diesel,Individual,Manual,3,14.4,2179,120.0,7.0,13
841,Maruti Ritz ZXi,275000,70000,Petrol,Individual,Manual,2,18.5,1197,85.8,5.0,9
842,Tata Indica Vista Terra 1.4 TDI,125000,100000,Diesel,Individual,Manual,2,17.0,1405,71.0,5.0,12
843,Hyundai i10 Sportz 1.1L,360000,20000,Petrol,Individual,Manual,1,19.81,1086,68.05,5.0,6
844,Hyundai Grand i10 1.2 Kappa Sportz BSIV,550000,15000,Petrol,Individual,Manual,1,18.9,1197,81.86,5.0,2
845,Ford Fiesta 1.4 ZXi Duratec,200000,70000,Petrol,Individual,Manual,2,16.6,1388,68.0,5.0,10
846,Mahindra KUV 100 mFALCON G80 K2,327000,20000,Petrol,Individual,Manual,1,18.15,1198,82.0,6.0,5
847,Hyundai i10 Sportz 1.1L,425000,15000,Petrol,Individual,Manual,1,19.81,1086,68.05,5.0,5
848,Maruti Swift Dzire VDI,620000,107000,Diesel,Individual,Manual,1,28.4,1248,74.02,5.0,4
849,Tata Indica Vista Aqua 1.3 Quadrajet BSIV,130000,54000,Diesel,Individual,Manual,2,18.4,1248,75.0,5.0,10
850,Maruti Alto LX,120000,58000,Petrol,Individual,Manual,1,19.7,796,46.3,5.0,12
851,Mahindra Scorpio SLE BSIV,400000,110000,Diesel,Individual,Manual,2,12.05,2179,120.0,8.0,10
852,Hyundai Verna CRDi SX,185000,90000,Diesel,Individual,Manual,Fourth & Above Owner,16.8,1493,110.0,5.0,14
853,Hyundai EON 1.0 Kappa Magna Plus,204999,43000,Petrol,Individual,Manual,2,20.3,998,68.05,5.0,6
854,Maruti Swift Dzire VDI,625000,43000,Diesel,Individual,Manual,1,28.4,1248,74.02,5.0,4
855,Maruti Ertiga ZDI,600000,60000,Diesel,Individual,Manual,1,20.77,1248,88.8,7.0,8
856,Tata Indigo GLX,150000,150000,Petrol,Individual,Manual,1,12.8,1396,85.0,5.0,10
858,Chevrolet Sail Hatchback Petrol,229999,46000,Petrol,Individual,Manual,1,18.2,1199,84.8,5.0,8
859,Maruti Omni E MPI STD BS IV,220000,10000,Petrol,Individual,Manual,1,16.8,796,34.2,8.0,3
860,Hyundai i20 Asta Option 1.2,576000,35000,Petrol,Individual,Manual,1,18.6,1197,81.83,5.0,5
861,Renault KWID RXT,265000,50000,Petrol,Individual,Manual,1,25.17,799,53.3,5.0,5
863,Hyundai Verna 1.6 VGT CRDi,300000,80000,Diesel,Individual,Manual,1,22.32,1582,126.32,5.0,10
864,Tata Tigor 1.05 Revotorq XZ,420000,110000,Diesel,Individual,Manual,1,24.7,1047,69.0,5.0,4
865,Maruti Ertiga VDI,750000,14000,Diesel,Individual,Manual,1,20.77,1248,88.76,7.0,6
866,Maruti Alto 800 CNG LXI,165000,60000,CNG,Individual,Manual,2,30.46,796,47.3,5.0,9
867,Renault KWID RXT,290000,28000,Petrol,Individual,Manual,1,25.17,799,53.3,5.0,4
868,Hyundai EON Era,160000,57000,Petrol,Individual,Manual,1,21.1,814,55.2,5.0,10
869,Maruti Swift Dzire ZDI,695000,50000,Diesel,Individual,Manual,1,26.59,1248,74.0,5.0,4
870,Maruti Wagon R Duo Lxi,231000,70000,LPG,Individual,Manual,1,26.2,998,58.2,5.0,9
871,Toyota Corolla Altis D-4D J,1050000,60000,Diesel,Individual,Manual,1,21.43,1364,87.2,5.0,6
872,Hyundai i20 Sportz 1.2,400000,70000,Petrol,Individual,Manual,1,18.5,1197,82.85,5.0,8
873,Hyundai i20 2015-2017 Sportz 1.2,500000,40000,Petrol,Individual,Manual,1,18.6,1197,81.83,5.0,5
874,Tata Manza Aqua Quadrajet BS IV,150000,120000,Diesel,Individual,Manual,2,21.12,1248,88.8,5.0,11
875,Mahindra Xylo H4,400000,140000,Diesel,Individual,Manual,2,14.02,2179,118.3,7.0,5
876,Tata Indigo LS,120000,100000,Diesel,Individual,Manual,2,17.0,1405,70.0,5.0,11
877,Mahindra Xylo H4,480000,120000,Diesel,Individual,Manual,2,14.02,2179,118.3,7.0,7
878,Tata Indigo CS LX (TDI) BS-III,200000,120000,Diesel,Individual,Manual,2,19.09,1405,69.01,5.0,8
879,Ford Fiesta Classic 1.4 Duratorq CLXI,300000,64000,Diesel,Individual,Manual,2,17.8,1399,67.0,5.0,9
880,Maruti Celerio VXI,350000,25000,Petrol,Individual,Manual,1,23.1,998,67.04,5.0,6
881,Renault Triber RXT BSIV,580000,12000,Petrol,Individual,Manual,1,20.0,999,72.0,7.0,2
882,Chevrolet Beat Diesel LT,200000,70000,Diesel,Individual,Manual,2,25.44,936,57.6,5.0,9
883,Mahindra Scorpio Getaway,750000,120000,Diesel,Individual,Manual,1,11.0,2179,120.0,5.0,5
884,Renault KWID RXT,261000,90000,Petrol,Individual,Manual,1,25.17,799,53.3,5.0,5
885,Chevrolet Sail 1.2 LS ABS,371000,40000,Petrol,Individual,Manual,1,18.2,1199,82.4,5.0,6
886,Mahindra Bolero DI Non AC BSIII,320000,300000,Diesel,Individual,Manual,3,13.6,2523,63.0,7.0,11
887,Tata Indigo CS LX (TDI) BS III,204999,120000,Diesel,Individual,Manual,2,19.09,1396,69.0,5.0,9
888,Hyundai Accent GLX,110000,90000,Petrol,Individual,Manual,2,13.2,1495,94.0,5.0,18
889,Ford Fusion 1.4 TDCi Diesel,150000,100000,Diesel,Individual,Manual,Fourth & Above Owner,17.7,1399,68.0,5.0,12
890,Mahindra Bolero 2011-2019 SLX,625000,90000,Diesel,Individual,Manual,2,15.96,2523,62.1,7.0,5
891,Mahindra Scorpio 1.99 S10,1300000,50000,Diesel,Individual,Manual,2,15.4,1997,120.0,7.0,4
892,Skoda Octavia Ambition 2.0 TDI MT,900000,168000,Diesel,Individual,Manual,1,20.6,1968,141.0,5.0,6
893,Ford Figo Diesel Titanium,180000,110000,Diesel,Individual,Manual,2,20.0,1399,68.0,5.0,11
894,Mahindra Bolero SLX,421000,120000,Diesel,Individual,Manual,2,13.6,2523,63.0,7.0,11
896,Honda WR-V i-DTEC VX,900000,40000,Diesel,Individual,Manual,1,25.5,1498,98.6,5.0,4
897,Honda City 2017-2020 GXi,165000,110000,Petrol,Individual,Manual,2,17.7,1497,78.0,5.0,15
898,Hyundai i20 Magna 1.4 CRDi,270000,100000,Diesel,Individual,Manual,Fourth & Above Owner,21.9,1396,90.0,5.0,11
899,Maruti Vitara Brezza VDi,750000,40000,Diesel,Individual,Manual,1,24.3,1248,88.5,5.0,4
900,Hyundai Elite i20 Petrol Asta Option,750000,30000,Petrol,Individual,Manual,1,18.6,1197,81.86,5.0,2
901,Maruti 800 Std,40000,80000,Petrol,Individual,Manual,3,16.1,796,37.0,4.0,19
902,Ford Figo Diesel Titanium,190000,90000,Diesel,Individual,Manual,2,20.0,1399,68.0,5.0,10
903,Toyota Innova 2.5 G4 Diesel 7-seater,395000,200000,Diesel,Individual,Manual,3,12.8,2494,102.0,7.0,12
904,Toyota Fortuner 3.0 Diesel,800000,125000,Diesel,Individual,Manual,2,11.5,2982,171.0,7.0,11
905,Hyundai i20 1.2 Sportz,315000,80000,Petrol,Individual,Manual,1,17.0,1197,80.0,5.0,10
906,Audi A4 2.0 TDI,1600000,44000,Diesel,Individual,Automatic,2,16.55,1968,147.51,5.0,7
907,Toyota Etios GD,409999,90000,Diesel,Individual,Manual,1,23.59,1364,67.04,5.0,8
909,Hyundai i20 Sportz 1.2,340000,70000,Petrol,Individual,Manual,1,18.5,1197,82.85,5.0,8
910,Hyundai EON Magna Plus,270000,43000,Petrol,Individual,Manual,1,21.1,814,55.2,5.0,6
911,Tata Zest Quadrajet 1.3 75PS XE,280000,80000,Diesel,Individual,Manual,1,22.95,1248,74.0,5.0,4
912,Tata Indica Vista Quadrajet VX,130000,60000,Diesel,Individual,Manual,1,22.3,1248,74.0,5.0,9
913,Hyundai EON Era Plus,260000,18945,Petrol,Individual,Manual,1,21.1,814,55.2,5.0,7
914,Hyundai Grand i10 1.2 CRDi Asta,710000,70000,Diesel,Individual,Manual,1,24.0,1186,73.97,5.0,3
915,Maruti Eeco Smiles 7 Seater Standard,204999,100000,Petrol,Individual,Manual,3,15.1,1196,73.0,7.0,8
916,Datsun GO Plus Anniversary Edition,300000,60000,Petrol,Individual,Manual,1,20.62,1198,67.0,7.0,4
917,Maruti Swift Dzire VDi,180000,144000,Diesel,Individual,Manual,2,19.3,1248,73.9,5.0,12
918,Mahindra TUV 300 T6 Plus,700000,120000,Diesel,Individual,Manual,1,18.49,1493,100.0,7.0,5
919,Hyundai i20 1.4 CRDi Magna,320000,107825,Diesel,Individual,Manual,2,21.9,1396,90.0,5.0,9
920,Maruti Alto 800 VXI Plus,370000,15000,Petrol,Individual,Manual,1,22.05,796,47.3,5.0,1
921,Renault KWID RXT Optional,340000,10000,Petrol,Individual,Manual,1,25.17,799,53.3,5.0,3
922,Maruti XL6 Alpha,1040000,1620,Petrol,Individual,Manual,1,19.01,1462,103.2,6.0,2
923,Hyundai i20 Active SX Diesel,750000,30000,Diesel,Individual,Manual,1,21.19,1396,88.76,5.0,3
924,Mahindra TUV 300 Plus P4 BSIV,600000,70000,Diesel,Individual,Manual,1,18.49,2179,120.0,9.0,3
925,Mahindra Bolero 2011-2019 DI - AC BS III,550000,70000,Diesel,Individual,Manual,1,15.96,2523,63.0,9.0,5
926,Toyota Innova 2.5 EV (Diesel) PS 7 Seater BS IV,600000,95000,Diesel,Individual,Manual,2,12.99,2494,100.57,7.0,8
927,Tata Tigor 1.05 Revotorq XZ Option,550000,50000,Diesel,Individual,Manual,1,24.7,1047,69.0,5.0,4
928,Honda City i DTEC VX Option,750000,160000,Diesel,Individual,Manual,1,25.1,1498,98.6,5.0,6
929,Hyundai Santro Magna BSIV,450000,10000,Petrol,Individual,Manual,1,20.3,1086,68.0,5.0,2
930,Maruti Ertiga VDI,400000,100000,Diesel,Individual,Manual,3,20.77,1248,88.76,7.0,9
931,Maruti Swift VDI Optional,520000,50000,Diesel,Individual,Manual,2,25.2,1248,74.0,5.0,5
932,Maruti Alto K10 Knightracer,199000,60000,Petrol,Individual,Manual,2,20.2,998,67.1,5.0,8
933,Chevrolet Beat Diesel LT,150000,110000,Diesel,Individual,Manual,1,25.44,936,57.6,5.0,9
934,Hyundai i20 Active 1.4 SX with AVN,540000,80000,Diesel,Individual,Manual,3,21.19,1396,88.73,5.0,5
935,Maruti SX4 ZDI,250000,85000,Diesel,Individual,Manual,2,21.5,1248,88.8,5.0,10
936,Maruti Wagon R LXI Minor,200000,90000,Petrol,Individual,Manual,2,18.9,1061,67.0,5.0,11
937,Tata Indica V2 2001-2011 eLX,130000,90000,Diesel,Individual,Manual,2,25.0,1396,69.0,5.0,10
938,Maruti 800 AC,90000,90000,Petrol,Individual,Manual,1,16.1,796,37.0,4.0,14
939,Hyundai Verna 1.6 SX,450000,120000,Diesel,Individual,Manual,2,22.32,1582,126.32,5.0,9
940,Hyundai Verna CRDi SX ABS,280000,120000,Diesel,Individual,Manual,1,18.1,1493,110.0,5.0,12
941,Tata New Safari 3L Dicor LX 4x2,280000,160000,Diesel,Individual,Manual,2,13.93,2956,138.1,7.0,14
942,Maruti Zen LXI,120000,141000,Petrol,Individual,Manual,2,17.3,993,60.0,5.0,15
943,Maruti Swift Ldi BSIII,290000,100000,Diesel,Individual,Manual,2,17.8,1248,75.0,5.0,13
944,Hyundai Creta 1.4 EX Diesel,1000000,15000,Diesel,Individual,Manual,1,22.1,1396,88.7,5.0,2
945,Maruti Swift Dzire VDi,415000,108000,Diesel,Individual,Manual,1,19.3,1248,73.9,5.0,9
946,Maruti Swift Dzire VDI,415000,108000,Diesel,Individual,Manual,1,23.4,1248,74.0,5.0,9
947,Chevrolet Beat Diesel LT,240000,55000,Diesel,Individual,Manual,1,25.44,936,56.3,5.0,6
948,Tata Indica Vista Aura 1.3 Quadrajet (ABS) BS IV,250000,37944,Diesel,Individual,Manual,1,18.4,1248,75.0,5.0,11
949,Ford Figo Diesel EXI,175000,90400,Diesel,Individual,Manual,1,20.0,1399,68.0,5.0,10
950,Hyundai Verna CRDi SX,220000,85000,Diesel,Individual,Manual,2,16.8,1493,110.0,5.0,13
951,Maruti Zen D,85000,120000,Diesel,Individual,Manual,3,20.8,1527,58.0,5.0,18
952,Maruti Swift Dzire VXI 1.2,675000,5000,Petrol,Individual,Manual,1,21.21,1197,81.8,5.0,2
953,Renault Duster 85PS Diesel RxL,535000,50000,Diesel,Individual,Manual,1,19.87,1461,83.8,5.0,5
954,Renault Triber RXZ BSIV,675000,5000,Petrol,Individual,Manual,1,20.0,999,72.0,7.0,2
955,Maruti Vitara Brezza ZDi Plus Dual Tone,800000,90000,Diesel,Individual,Manual,1,24.3,1248,88.5,5.0,5
956,Maruti Ertiga ZDI,425000,96000,Diesel,Individual,Manual,2,20.77,1248,88.8,7.0,9
957,Maruti Eeco 5 Seater AC BSIV,150000,80000,Petrol,Individual,Manual,3,15.37,1196,73.0,5.0,10
958,Maruti Zen Estilo 1.1 LXI BSIII,90000,60000,Petrol,Individual,Manual,2,18.2,1061,64.0,5.0,14
959,Mahindra XUV500 W6 2WD,850000,90000,Diesel,Individual,Manual,1,15.1,2179,140.0,7.0,6
960,Toyota Innova 2.5 G (Diesel) 7 Seater BS IV,330000,193623,Diesel,Individual,Manual,2,12.8,2494,102.0,8.0,13
961,Hyundai i20 1.4 Asta Option,850000,63186,Diesel,Individual,Manual,1,22.54,1396,88.73,5.0,4
962,Mahindra Bolero SLX,305000,219000,Diesel,Individual,Manual,2,13.6,2523,63.0,7.0,13
963,Toyota Innova 2.5 VX (Diesel) 7 Seater,910000,110000,Diesel,Individual,Manual,2,12.99,2494,100.0,7.0,8
964,Toyota Innova 2.5 VX 8 STR,1100000,151000,Diesel,Individual,Manual,1,12.8,2494,102.0,8.0,9
965,Maruti Baleno Zeta Automatic,675000,5000,Petrol,Individual,Automatic,1,21.4,1197,83.1,5.0,2
966,Maruti Alto LXi BSIII,150000,91500,Petrol,Individual,Manual,1,19.7,796,46.3,5.0,11
967,Maruti Swift VDI BSIV,550000,23000,Diesel,Individual,Manual,1,25.2,1248,74.0,5.0,6
968,Volkswagen Vento Diesel Highline,350000,40000,Diesel,Individual,Manual,1,20.54,1598,103.6,5.0,9
969,Maruti Ritz VDi,300000,70000,Diesel,Individual,Manual,1,23.2,1248,73.94,5.0,9
970,Toyota Innova Crysta 2.8 GX AT BSIV,1745000,10000,Diesel,Individual,Automatic,1,11.36,2755,171.5,7.0,3
971,Mahindra Scorpio 2009-2014 EX 2WD 7S,611000,90000,Diesel,Individual,Manual,2,14.0,2523,75.0,7.0,7
972,Honda Brio S MT,400000,68000,Petrol,Individual,Manual,1,19.4,1198,86.8,5.0,5
973,Hyundai Elantra CRDi SX,700000,120000,Diesel,Individual,Manual,1,22.7,1582,126.24,5.0,8
974,Chevrolet Sail Hatchback LS ABS,300000,65000,Diesel,Individual,Manual,1,22.1,1248,76.9,5.0,8
975,Hyundai Getz GLS,65000,85000,Petrol,Individual,Manual,1,15.3,1341,83.0,5.0,16
976,Maruti Wagon R VXI BS IV,200000,94000,Petrol,Individual,Manual,3,18.9,998,67.1,5.0,10
977,Hyundai i20 Asta Option 1.4 CRDi,650000,100000,Diesel,Individual,Manual,1,22.54,1396,88.73,5.0,6
978,Hyundai i20 Asta Option 1.4 CRDi,650000,80000,Diesel,Individual,Manual,1,22.54,1396,88.73,5.0,6
979,Volkswagen Polo Diesel Trendline 1.2L,350000,80000,Diesel,Individual,Manual,3,22.07,1199,73.9,5.0,8
980,Tata Indica V2 DL BSIII,75000,140500,Diesel,Individual,Manual,3,17.88,1396,52.8,5.0,10
981,Maruti Swift Dzire VXi,240000,143000,Petrol,Individual,Manual,1,17.5,1298,85.8,5.0,11
982,Maruti Alto K10 2010-2014 VXI,240000,60000,Petrol,Individual,Manual,1,20.92,998,67.1,5.0,8
983,Tata Indica Vista Aura 1.3 Quadrajet (ABS) BS IV,180000,120000,Diesel,Individual,Manual,2,18.4,1248,75.0,5.0,10
984,Hyundai Santa Fe 4WD AT,900000,80000,Diesel,Individual,Automatic,2,13.01,2199,194.3,7.0,7
985,Mahindra Thar DI 4X4,425000,63000,Diesel,Individual,Manual,2,18.06,2523,63.0,7.0,7
986,Chevrolet Spark 1.0 LT,95000,120000,Petrol,Individual,Manual,3,18.0,995,62.0,5.0,12
987,Maruti Swift Dzire VDI,811000,100000,Diesel,Individual,Manual,1,28.4,1248,74.02,5.0,3
988,Hyundai Verna VTVT 1.6 SX Option,1100000,60000,Petrol,Individual,Manual,1,17.0,1591,121.3,5.0,3
989,Chevrolet Tavera Neo 3 LT 9 Seats BSIII,600000,90000,Diesel,Individual,Manual,1,13.58,2499,72.4,9.0,8
990,Maruti Ertiga VDI,550000,50000,Diesel,Individual,Manual,2,20.77,1248,88.76,7.0,7
991,Mahindra Scorpio S4 Plus 4WD,715000,70000,Diesel,Individual,Manual,1,15.4,2179,120.0,7.0,6
993,Tata Indigo LS BSII,100000,120000,Diesel,Individual,Manual,3,16.1,1405,70.0,5.0,15
994,Mahindra Scorpio EX,500000,195000,Diesel,Individual,Manual,1,14.0,2523,75.0,8.0,8
995,Maruti Wagon R Stingray VXI,350000,40000,Petrol,Individual,Manual,1,20.51,998,67.04,5.0,8
996,Tata Indica V2 DLS TC,100000,40000,Diesel,Individual,Manual,1,16.8,1405,62.0,5.0,13
997,Tata Safari DICOR 2.2 EX 4x2,325000,120000,Diesel,Individual,Manual,1,13.93,2179,138.03,7.0,9
998,Maruti Wagon R LXI BS IV,220000,360003,Petrol,Individual,Manual,2,18.9,998,67.1,5.0,9
999,Maruti 800 AC,55000,60000,Petrol,Individual,Manual,2,16.1,796,37.0,4.0,22
1000,Renault KWID RXT,330000,20000,Petrol,Individual,Manual,1,25.17,799,53.3,5.0,5
1001,Mahindra Bolero 2011-2019 EX NON AC,480000,37000,Diesel,Individual,Manual,1,15.96,2523,62.1,7.0,7
1002,Maruti S-Cross 2017-2020 Zeta DDiS 200 SH,950000,57000,Diesel,Individual,Manual,2,25.1,1248,88.5,5.0,3
1003,Hyundai Verna Transform SX VGT CRDi,300000,110000,Diesel,Individual,Manual,2,16.2,1493,110.0,5.0,10
1004,Hyundai Verna Xi (Petrol),170000,110000,Petrol,Individual,Manual,Fourth & Above Owner,13.9,1599,103.2,5.0,15
1005,Toyota Innova 2.5 EV (Diesel) PS 8 Seater BS IV,850000,120000,Diesel,Individual,Manual,2,12.99,2494,100.57,8.0,8
1006,Tata Tigor 2017-2020 XZ Plus Diesel,900000,8079,Diesel,Dealer,Manual,1,24.7,1047,69.0,5.0,2
1007,Toyota Innova 2.5 Z Diesel 7 Seater BS IV,1325000,114368,Diesel,Dealer,Manual,2,12.99,2494,100.6,7.0,6
1008,Ford Fiesta Classic 1.4 Duratorq CLXI,350000,79990,Diesel,Dealer,Manual,2,17.8,1399,67.0,5.0,9
1009,Ford Figo Diesel Titanium,425000,81632,Diesel,Dealer,Manual,1,20.0,1399,68.0,5.0,9
1010,Ford Aspire Titanium Diesel BSIV,600000,155201,Diesel,Dealer,Manual,1,26.1,1498,99.23,5.0,5
1011,Ford Ecosport 1.5 DV5 MT Titanium,750000,101504,Diesel,Dealer,Manual,1,22.7,1498,89.84,5.0,7
1012,Ford Fiesta Classic 1.4 Duratorq CLXI,450000,90165,Diesel,Dealer,Manual,1,17.8,1399,67.0,5.0,9
1013,Ford Figo Titanium Diesel BSIV,325000,86017,Diesel,Dealer,Manual,2,25.5,1498,99.23,5.0,11
1014,Mahindra XUV500 W8 2WD,900000,85036,Diesel,Dealer,Manual,2,15.1,2179,140.0,7.0,8
1016,Ford EcoSport 1.5 TDCi Titanium BSIV,600000,125531,Diesel,Dealer,Manual,2,22.77,1498,98.59,5.0,8
1017,Hyundai Verna VTVT 1.6 SX Option,1100000,10000,Petrol,Individual,Manual,1,17.0,1591,121.3,5.0,2
